Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
1758¿Program¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":355,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Program
1759¿ExpressionStatement¿¿¿¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":13},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿ExpressionStatement
1760¿Literal¿string¿¿'use strict'¿¿{"start":{"line":7,"column":0},"end":{"line":7,"column":12},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Literal
1761¿VariableDeclarator¿¿fs¿¿¿{"start":{"line":9,"column":6},"end":{"line":9,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿VariableDeclarator
1762¿CallExpression¿¿¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿CallExpression
1763¿Identifier¿¿require¿¿¿{"start":{"line":9,"column":11},"end":{"line":9,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Identifier
1764¿Literal¿string¿¿'fs'¿¿{"start":{"line":9,"column":19},"end":{"line":9,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Literal
1765¿VariableDeclarator¿¿path¿¿¿{"start":{"line":10,"column":6},"end":{"line":10,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿VariableDeclarator
1766¿CallExpression¿¿¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":28},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿CallExpression
1767¿Identifier¿¿require¿¿¿{"start":{"line":10,"column":13},"end":{"line":10,"column":20},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Identifier
1768¿Literal¿string¿¿'path'¿¿{"start":{"line":10,"column":21},"end":{"line":10,"column":27},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Literal
1769¿VariableDeclarator¿¿child_process¿¿¿{"start":{"line":11,"column":6},"end":{"line":11,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿VariableDeclarator
1770¿CallExpression¿¿¿¿¿{"start":{"line":11,"column":22},"end":{"line":11,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿CallExpression
1771¿Identifier¿¿require¿¿¿{"start":{"line":11,"column":22},"end":{"line":11,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Identifier
1772¿Literal¿string¿¿'child_process'¿¿{"start":{"line":11,"column":30},"end":{"line":11,"column":45},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Literal
1773¿VariableDeclarator¿¿os¿¿¿{"start":{"line":12,"column":6},"end":{"line":12,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿VariableDeclarator
1774¿CallExpression¿¿¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿CallExpression
1775¿Identifier¿¿require¿¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Identifier
1776¿Literal¿string¿¿'os'¿¿{"start":{"line":12,"column":19},"end":{"line":12,"column":23},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Literal
1777¿VariableDeclarator¿¿chalk¿¿¿{"start":{"line":13,"column":6},"end":{"line":13,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿VariableDeclarator
1778¿CallExpression¿¿¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":30},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿CallExpression
1779¿Identifier¿¿require¿¿¿{"start":{"line":13,"column":14},"end":{"line":13,"column":21},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Identifier
1780¿Literal¿string¿¿'chalk'¿¿{"start":{"line":13,"column":22},"end":{"line":13,"column":29},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Literal
1781¿VariableDeclarator¿¿shellQuote¿¿¿{"start":{"line":14,"column":6},"end":{"line":14,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿VariableDeclarator
1782¿CallExpression¿¿¿¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":41},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿CallExpression
1783¿Identifier¿¿require¿¿¿{"start":{"line":14,"column":19},"end":{"line":14,"column":26},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Identifier
1784¿Literal¿string¿¿'shell-quote'¿¿{"start":{"line":14,"column":27},"end":{"line":14,"column":40},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Literal
1785¿VariableDeclarator¿¿isTerminalEditor¿¿¿¿¿VariableDeclarator
1786¿FunctionExpression¿¿anon¿¿¿{"start":{"line":16,"column":0},"end":{"line":24,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿FunctionExpression
1787¿Identifier¿¿editor¿¿¿{"start":{"line":16,"column":26},"end":{"line":16,"column":32},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Identifier
1788¿SwitchStatement¿¿¿¿¿{"start":{"line":17,"column":2},"end":{"line":22,"column":3},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿SwitchStatement
1789¿Identifier¿¿editor¿¿¿{"start":{"line":17,"column":10},"end":{"line":17,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Identifier
1790¿SwitchCase¿¿¿¿¿{"start":{"line":18,"column":4},"end":{"line":18,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿SwitchCase
1791¿Literal¿string¿¿'vim'¿¿{"start":{"line":18,"column":9},"end":{"line":18,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Literal
1792¿SwitchCase¿¿¿¿¿{"start":{"line":19,"column":4},"end":{"line":19,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿SwitchCase
1793¿Literal¿string¿¿'emacs'¿¿{"start":{"line":19,"column":9},"end":{"line":19,"column":16},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Literal
1794¿SwitchCase¿¿¿¿¿{"start":{"line":20,"column":4},"end":{"line":21,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿SwitchCase
1795¿Literal¿string¿¿'nano'¿¿{"start":{"line":20,"column":9},"end":{"line":20,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Literal
1796¿ReturnStatement¿¿¿¿¿{"start":{"line":21,"column":6},"end":{"line":21,"column":18},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿ReturnStatement
1797¿Literal¿boolean¿¿true¿¿{"start":{"line":21,"column":13},"end":{"line":21,"column":17},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Literal
1798¿ReturnStatement¿¿¿¿¿{"start":{"line":23,"column":2},"end":{"line":23,"column":15},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿ReturnStatement
1799¿Literal¿boolean¿¿false¿¿{"start":{"line":23,"column":9},"end":{"line":23,"column":14},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Literal
1800¿BlockStatement¿¿¿¿¿{"start":{"line":16,"column":34},"end":{"line":24,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿BlockStatement
1801¿VariableDeclarator¿¿COMMON_EDITORS_OSX¿¿¿{"start":{"line":29,"column":6},"end":{"line":61,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿VariableDeclarator
1802¿ObjectExpression¿¿¿¿¿¿¿ObjectExpression
1803¿ExpressionStatement¿¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":61,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿ExpressionStatement
1804¿AssignmentExpression¿=¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":61,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿AssignmentExpression
1805¿MemberExpression¿computed¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":61,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿MemberExpression
1806¿Identifier¿¿COMMON_EDITORS_OSX¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Identifier
1807¿Literal¿string¿¿'/Applications/Atom.app/Contents/MacOS/Atom'¿¿{"start":{"line":30,"column":2},"end":{"line":30,"column":46},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Literal
1808¿Literal¿string¿¿'atom'¿¿{"start":{"line":30,"column":48},"end":{"line":30,"column":54},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Literal
1809¿ExpressionStatement¿¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":61,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿ExpressionStatement
1810¿AssignmentExpression¿=¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":61,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿AssignmentExpression
1811¿MemberExpression¿computed¿¿¿¿{"start":{"line":29,"column":6},"end":{"line":61,"column":1},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿MemberExpression
1812¿Identifier¿¿COMMON_EDITORS_OSX¿¿¿{"start":{"line":29,"column":6},"end":{"line":29,"column":24},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Identifier
1813¿Literal¿string¿¿'/Applications/Atom Beta.app/Contents/MacOS/Atom Beta'¿¿{"start":{"line":31,"column":2},"end":{"line":31,"column":56},"fname":"/datasets/vulcan-dataset/CWE-78/695/src/launchEditor.js"}¿¿Literal
