Id:ID¿Type¿SubType¿FunctionContext¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
290¿Program¿¿-1¿¿¿¿{"start":{"line":6,"column":0},"end":{"line":33,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/node-cxc_1.0.0/src/app.js"}¿¿Program
291¿VariableDeclarator¿¿507¿http¿¿¿{"start":{"line":6,"column":4},"end":{"line":6,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/node-cxc_1.0.0/src/app.js"}¿¿VariableDeclarator
292¿CallExpression¿¿507¿¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/node-cxc_1.0.0/src/app.js"}¿¿CallExpression
293¿Identifier¿¿507¿require¿¿¿{"start":{"line":6,"column":9},"end":{"line":6,"column":16},"fname":"/datasets/secbench-dataset/CWE-22/node-cxc_1.0.0/src/app.js"}¿¿Identifier
294¿Literal¿string¿507¿¿'http'¿¿{"start":{"line":6,"column":17},"end":{"line":6,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/node-cxc_1.0.0/src/app.js"}¿¿Literal
295¿VariableDeclarator¿¿507¿fs¿¿¿{"start":{"line":7,"column":4},"end":{"line":7,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/node-cxc_1.0.0/src/app.js"}¿¿VariableDeclarator
296¿CallExpression¿¿507¿¿¿¿{"start":{"line":7,"column":7},"end":{"line":7,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/node-cxc_1.0.0/src/app.js"}¿¿CallExpression
297¿Identifier¿¿507¿require¿¿¿{"start":{"line":7,"column":7},"end":{"line":7,"column":14},"fname":"/datasets/secbench-dataset/CWE-22/node-cxc_1.0.0/src/app.js"}¿¿Identifier
298¿Literal¿string¿507¿¿'fs'¿¿{"start":{"line":7,"column":15},"end":{"line":7,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/node-cxc_1.0.0/src/app.js"}¿¿Literal
299¿VariableDeclarator¿¿507¿url¿¿¿{"start":{"line":8,"column":4},"end":{"line":8,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/node-cxc_1.0.0/src/app.js"}¿¿VariableDeclarator
300¿CallExpression¿¿507¿¿¿¿{"start":{"line":8,"column":8},"end":{"line":8,"column":22},"fname":"/datasets/secbench-dataset/CWE-22/node-cxc_1.0.0/src/app.js"}¿¿CallExpression
