Id:ID¿Type¿SubType¿IdentifierName¿Raw¿InternalStructure¿Location¿Code¿Label:LABEL
732¿Program¿¿¿¿¿{"start":{"line":2,"column":0},"end":{"line":139,"column":15},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Program
733¿VariableDeclarator¿¿express¿¿¿{"start":{"line":2,"column":6},"end":{"line":2,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
734¿CallExpression¿¿¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":34},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿CallExpression
735¿Identifier¿¿require¿¿¿{"start":{"line":2,"column":16},"end":{"line":2,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
736¿Literal¿string¿¿'express'¿¿{"start":{"line":2,"column":24},"end":{"line":2,"column":33},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Literal
737¿VariableDeclarator¿¿fs¿¿¿{"start":{"line":3,"column":6},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
738¿CallExpression¿¿¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":24},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿CallExpression
739¿Identifier¿¿require¿¿¿{"start":{"line":3,"column":11},"end":{"line":3,"column":18},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
740¿Literal¿string¿¿'fs'¿¿{"start":{"line":3,"column":19},"end":{"line":3,"column":23},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Literal
741¿VariableDeclarator¿¿path¿¿¿{"start":{"line":4,"column":6},"end":{"line":4,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
742¿CallExpression¿¿¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿CallExpression
743¿Identifier¿¿require¿¿¿{"start":{"line":4,"column":13},"end":{"line":4,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
744¿Literal¿string¿¿'path'¿¿{"start":{"line":4,"column":21},"end":{"line":4,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Literal
745¿VariableDeclarator¿¿http¿¿¿{"start":{"line":5,"column":6},"end":{"line":5,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
746¿CallExpression¿¿¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿CallExpression
747¿Identifier¿¿require¿¿¿{"start":{"line":5,"column":13},"end":{"line":5,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
748¿Literal¿string¿¿'http'¿¿{"start":{"line":5,"column":21},"end":{"line":5,"column":27},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Literal
749¿VariableDeclarator¿¿commander¿¿¿{"start":{"line":6,"column":6},"end":{"line":6,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
750¿CallExpression¿¿¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":38},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿CallExpression
751¿Identifier¿¿require¿¿¿{"start":{"line":6,"column":18},"end":{"line":6,"column":25},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
752¿Literal¿string¿¿'commander'¿¿{"start":{"line":6,"column":26},"end":{"line":6,"column":37},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Literal
753¿VariableDeclarator¿¿app¿¿¿{"start":{"line":7,"column":6},"end":{"line":7,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿VariableDeclarator
754¿CallExpression¿¿¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿CallExpression
755¿Identifier¿¿express¿¿¿{"start":{"line":7,"column":12},"end":{"line":7,"column":19},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
756¿VariableDeclarator¿¿v69¿¿¿¿¿VariableDeclarator
757¿CallExpression¿¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":11,"column":21},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿CallExpression
758¿MemberExpression¿¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":11,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿MemberExpression
759¿Identifier¿¿commander¿¿¿{"start":{"line":10,"column":0},"end":{"line":10,"column":9},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
760¿Identifier¿¿version¿¿¿{"start":{"line":11,"column":5},"end":{"line":11,"column":12},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
761¿Literal¿string¿¿'1.0.0'¿¿{"start":{"line":11,"column":13},"end":{"line":11,"column":20},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Literal
762¿VariableDeclarator¿¿v70¿¿¿¿¿VariableDeclarator
763¿CallExpression¿¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":12,"column":29},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿CallExpression
764¿MemberExpression¿¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":12,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿MemberExpression
765¿Identifier¿¿v69¿¿¿¿¿Identifier
766¿Identifier¿¿usage¿¿¿{"start":{"line":12,"column":5},"end":{"line":12,"column":10},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
767¿Literal¿string¿¿'[options] [dir]'¿¿{"start":{"line":12,"column":11},"end":{"line":12,"column":28},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Literal
768¿VariableDeclarator¿¿v71¿¿¿¿¿VariableDeclarator
769¿CallExpression¿¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":13,"column":85},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿CallExpression
770¿MemberExpression¿¿¿¿¿{"start":{"line":10,"column":0},"end":{"line":13,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿MemberExpression
771¿Identifier¿¿v70¿¿¿¿¿Identifier
772¿Identifier¿¿option¿¿¿{"start":{"line":13,"column":5},"end":{"line":13,"column":11},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Identifier
773¿Literal¿string¿¿'-i, --auto-index'¿¿{"start":{"line":13,"column":12},"end":{"line":13,"column":30},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Literal
774¿Literal¿string¿¿'Automatically searches for index.html in directory'¿¿{"start":{"line":13,"column":32},"end":{"line":13,"column":84},"fname":"/datasets/secbench-dataset/CWE-22/shit-server_1.0.0/src/index.js"}¿¿Literal
